,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
CS Atrium - Less than or equal to 40 ft,NCC2025_AU,Atrium,Atrium - Less than or equal to 40 ft,Atrium,2025,AU,NCC,255,255,0,CS Atrium - Less than or equal to 40 ft_NCC2025AU,CS Atrium - Less than or equal to 40 ft_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Atrium - Less than or equal to 40 ftPeopleDef,,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces_Corridors other than Group R,,,IMC Table 403.3.1.1Public spaces_Corridors other than Group RVent,0.000000,0.00,,,,NCC S35C2l,,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Atrium - Less than or equal to 40 ftElectricalEquipDef,,0.410000,4.41320,0.37,0.2,IECC Table C405.3.2(2),,Atrium - less than or equal to 40 feet in height; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Atrium - Less than or equal to 40 ftLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Atrium - Less than or equal to 40 ftInfil,Always On,Space Function,Atrium - H < 13m,,0.31,,MediumRough,0.085,2.56,904,1122,0.9,0.7,0.7,Mixed_Atrium_LTE40ft_85mm,CalculatedEstimate,LightWoodTrussesOrSmallSteelBeams,,Mixed_Atrium_LTE40ft_85mm,CalculatedEstimateLightWoodTrussesOrSmallSteelBeamsMixed_Atrium_LTE40ft_85mmInternalMassDef
CS Atrium - More than 40 ft,NCC2025_AU,Atrium,Atrium - More than 40 ft,Atrium,2025,AU,NCC,255,255,0,CS Atrium - More than 40 ft_NCC2025AU,CS Atrium - More than 40 ft_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Atrium - More than 40 ftPeopleDef,,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces_Corridors other than Group R,,,IMC Table 403.3.1.1Public spaces_Corridors other than Group RVent,0.000000,0.00,,,,NCC S35C2l,,Shared with host building class (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Atrium - More than 40 ftElectricalEquipDef,,0.510000,5.48959,0.37,0.2,IECC Table C405.3.2(2),,Atrium - greater than 40 feet in height; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Atrium - More than 40 ftLightingDef,NECB-C-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Atrium - More than 40 ftInfil,Always On,Space Function,Atrium - H > 13m,,0.36,,MediumRough,0.1294,3.01,886,1270,0.9,0.7,0.7,Mixed_Atrium_GT40ft_129mm,CalculatedEstimate,HeavyGlulamBeamsOrSteelMembers,,Mixed_Atrium_GT40ft_129mm,CalculatedEstimateHeavyGlulamBeamsOrSteelMembersMixed_Atrium_GT40ft_129mmInternalMassDef
CS Banking Activity Area,NCC2025_AU,Bank,Banking Activity Area,Bank - banking and offices,2025,AU,NCC,204,255,229,CS Banking Activity Area_NCC2025AU,CS Banking Activity Area_NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Banking Activity AreaPeopleDef,NCC-C6Shop-Occupancy,CS Banking Activity AreaActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces_Museums/galleries ,,,IMC Table 403.3.1.1Public spaces_Museums/galleries Vent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,"Class 6 shop/shopping centre (bank treated as retail/counter service - judgment call, no distinct NCC bank category); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC S35C2lCS Banking Activity AreaElectricalEquipDef,NCC-C6Shop-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Office - artificially lit to >= 200 lux (teller/counter areas judged closer to office than retail merchandising); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Banking Activity AreaLightingDef,NCC-C6Shop-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Banking Activity AreaInfil,Always On,Space Function,Bank - banking and offices,,0.69,,MediumRough,0.0151,5.243,1547,811,0.9,0.7,0.7,Mixed_Banking_ActivityArea_15mm,CalculatedEstimate,TellerCountersAndSecurityTransactionWindows,,Mixed_Banking_ActivityArea_15mm,CalculatedEstimateTellerCountersAndSecurityTransactionWindowsMixed_Banking_ActivityArea_15mmInternalMassDef
CS Classroom/Lecture/Training - Penitentiary,NCC2025_AU,Penitentiary,Classroom/Lecture/Training,Penitentiary - classroom,2025,AU,NCC,204,120,230,CS Classroom/Lecture/Training - Penitentiary_NCC2025AU,CS Classroom/Lecture/Training - Penitentiary_NCC2025AUScheduleSet,15.38461538,65,0.699654478,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Classroom/Lecture/Training - PenitentiaryPeopleDef,NECB-D-Occupancy,CS Classroom/Lecture/Training - PenitentiaryActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Lecture classroom ,,,IMC Table 403.3.1.1Education_Lecture classroom Vent,0.589128841,6.34138284,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Classroom/Lecture/Training - PenitentiaryElectricalEquipDef,NECB-D-Electric-Equipment,0.740000,7.96529,0.37,0.2,IECC Table C405.3.2(2),,Classroom/lecture hall/training room - in a penitentiary; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Classroom/Lecture/Training - PenitentiaryLightingDef,NECB-D-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Classroom/Lecture/Training - PenitentiaryInfil,Always On,Space Function,Classroom/lecture/training,,0.85,,MediumSmooth,0.0043,9.44,1923,895,0.9,0.55,0.5,Mixed_Classroom_Penitentiary_4mm,CalculatedEstimate,LaminateDeskSteelChairInstitutional,,Mixed_Classroom_Penitentiary_4mm,CalculatedEstimateLaminateDeskSteelChairInstitutionalMixed_Classroom_Penitentiary_4mmInternalMassDef
CS Classroom/Lecture/Training - K-12 - laboratory and shops,NCC2025_AU,Secondary School,Classroom/Lecture/Training - K-12 - laboratory and shops,SecondarySchool Classroom,2025,AU,NCC,204,120,230,CS Classroom/Lecture/Training - K-12 - laboratory and shops_NCC2025AU,CS Classroom/Lecture/Training - K-12 - laboratory and shops_NCC2025AUScheduleSet,15.38461538,65,0.699654478,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Classroom/Lecture/Training - K-12 - laboratory and shopsPeopleDef,NCC-C9bSchool-Occupancy,CS Classroom/Lecture/Training - K-12 - laboratory and shopsActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Lecture classroom ,,,IMC Table 403.3.1.1Education_Lecture classroom Vent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b school; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Classroom/Lecture/Training - K-12 - laboratory and shopsElectricalEquipDef,NCC-C9bSchool-Electric-Equipment,0.557418,6.00,0.37,0.2,NCC J7D3a,,Laboratory - artificially lit to an ambient level of 400 lx or more (K-12 lab/shops variant); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Classroom/Lecture/Training - K-12 - laboratory and shopsLightingDef,NCC-C9bSchool-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Classroom/Lecture/Training - K-12 - laboratory and shopsInfil,Always On,SecondarySchool,Classroom,,2.35,,MediumRough,0.00428,14,2572,659,0.9,0.7,0.7,Mixed_ClassroomK12_LabShop_4mm,CalculatedEstimate,SteelBenchesCaseworkAndShopMachines,,Mixed_ClassroomK12_LabShop_4mm,CalculatedEstimateSteelBenchesCaseworkAndShopMachinesMixed_ClassroomK12_LabShop_4mmInternalMassDef
CS Classroom/Lecture/Training - Other,NCC2025_AU,School/University,Classroom/Lecture/Training,Classroom/lecture/training,2025,AU,NCC,204,120,230,CS Classroom/Lecture/Training - Other_NCC2025AU,CS Classroom/Lecture/Training - Other_NCC2025AUScheduleSet,15.38461538,65,0.699654478,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Classroom/Lecture/Training - OtherPeopleDef,NCC-C9bSchool-Occupancy,CS Classroom/Lecture/Training - OtherActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Education_Lecture classroom ,,,IMC Table 403.3.1.1Education_Lecture classroom Vent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b school; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Classroom/Lecture/Training - OtherElectricalEquipDef,NCC-C9bSchool-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,School - general purpose learning areas and tutorial rooms; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Classroom/Lecture/Training - OtherLightingDef,NCC-C9bSchool-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Classroom/Lecture/Training - OtherInfil,Always On,Space Function,Classroom/lecture/training,,1.3,,MediumRough,0.0078,2.85,894,936,0.9,0.6,0.6,Mixed_ClassroomTraining_Other_8mm,CalculatedEstimate,MovableLaminateTablesAndStackingChairs,,Mixed_ClassroomTraining_Other_8mm,CalculatedEstimateMovableLaminateTablesAndStackingChairsMixed_ClassroomTraining_Other_8mmInternalMassDef
CS Conference/Meeting/Multipurpose,NCC2025_AU,Office,Conference/Meeting/Multipurpose,Office Conference,2025,AU,NCC,230,196,120,CS Conference/Meeting/Multipurpose_NCC2025AU,CS Conference/Meeting/Multipurpose_NCC2025AUScheduleSet,20,50,0.538195753,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Conference/Meeting/MultipurposePeopleDef,NCC-BizHours-Occupancy,CS Conference/Meeting/MultipurposeActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Office_Conference rooms,,,IMC Table 403.3.1.1Office_Conference roomsVent,1.021933,11.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 5 building; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Conference/Meeting/MultipurposeElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.464515,5.00,0.37,0.2,NCC J7D3a,,Board room and conference room; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Conference/Meeting/MultipurposeLightingDef,NCC-BizHours-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Conference/Meeting/MultipurposeInfil,Always On,Space Function,Conf./meet./multi-purpose,,0.61,,MediumRough,0.0059,42.8,1804,1243,0.9,0.7,0.65,Conference_Meeting_Multipurpose_Material,CalculatedEstimate,ConferenceTablesChairsAndCredenza,,Conference_Meeting_Multipurpose_Material,CalculatedEstimateConferenceTablesChairsAndCredenzaConference_Meeting_Multipurpose_MaterialInternalMassDef
CS Confinment Cells,NCC2025_AU,Courthouse,Confinment Cells,Courthouse - cell,2025,AU,NCC,192,192,192,CS Confinment Cells_NCC2025AU,CS Confinment Cells_NCC2025AUScheduleSet,40,25,0.269097876,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Confinment CellsPeopleDef,NCC-C3-Occupancy,CS Confinment CellsActivity,5,0.002359604,0.12,0.0006096,,,,IMC Table 403.3.1.1,Correctional facilities_Cells With plumbing fixtures,,,IMC Table 403.3.1.1Correctional facilities_Cells With plumbing fixturesVent,1.492832266,16.06884651,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeCS Confinment CellsElectricalEquipDef,NCC-C3-Electric-Equipment,0.480000,5.16668,0.37,0.2,IECC Table C405.3.2(2),,Dormitory - living quarters (nearest match for a private sleeping/holding room); radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)CS Confinment CellsLightingDef,NCC-C3-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Confinment CellsInfil,OfficeMedium INFIL_SCH_PNNL,Office,Conference,,0.73,,Smooth,0.0043,33.8,7746,492,0.9,0.7,0.7,Steel_Security_Fixtures_4mm,CalculatedEstimate,FixedSteelBedDeskAndToiletFixtures,,Steel_Security_Fixtures_4mm,CalculatedEstimateFixedSteelBedDeskAndToiletFixturesSteel_Security_Fixtures_4mmInternalMassDef
CS Copy/Print Room,NCC2025_AU,Office,Copy/Print Room,PrintRoom,2025,AU,NCC,41,31,169,CS Copy/Print Room_NCC2025AU,CS Copy/Print Room_NCC2025AUScheduleSet,250,4,0.04305566,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Copy/Print RoomPeopleDef,NCC-BizHours-Occupancy,CS Copy/Print RoomActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Workrooms_Copy_printing rooms ,,,IMC Table 403.3.1.1Workrooms_Copy_printing rooms Vent,1.021933,11.00,0,0.5,0,NCC S35C2l,BA Office,Class 5 building; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Copy/Print RoomElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Office - artificially lit to >= 200 lux (fallback; no dedicated print/copy room row); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Copy/Print RoomLightingDef,NCC-BizHours-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Copy/Print RoomInfil,OfficeMedium INFIL_SCH_PNNL,Office,PrintRoom,,1.52,,MediumRough,0.0015,39.6,6545,629,0.9,0.7,0.65,Steel_Office_Equipment_2mm,CalculatedEstimate,CommercialCopierAndSteelStorageCabinets,,Steel_Office_Equipment_2mm,CalculatedEstimateCommercialCopierAndSteelStorageCabinetsSteel_Office_Equipment_2mmInternalMassDef
CS Corridor - Nursing Home,NCC2025_AU,Nursing Home,Corridor,Office Corridor,2025,AU,NCC,169,31,31,CS Corridor - Nursing Home_NCC2025AU,CS Corridor - Nursing Home_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Corridor - Assisted LivingPeopleDef,NCC-C9cAgedCare-Occupancy,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces_Corridors serving Group R ,,,IMC Table 403.3.1.1Public spaces_Corridors serving Group R Vent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9c building: S35C2l's 160 W/room provision applies only to sole-occupancy resident rooms; a corridor is a communal/circulation space so it defaults to 'Other applications - No load'; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Corridor - Nursing HomeElectricalEquipDef,Always On,0.464515,5.00,0.37,0.2,NCC J7D3a,,Corridors (Class 9c aged care building - NCC 2025 Vol One Spec 35 Table S35C2k is the applicable occupancy profile table for future schedule work); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Corridor - Nursing HomeLightingDef,NCC-C9cAgedCare-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Corridor - Assisted LivingInfil,ApartmentMidRise INF_APT_SCH,MidriseApartment,Corridor,,0.19,,Smooth,0.0027,182.5,3009,894,0.9,0.7,0.7,Aluminum_Corridor_Fixtures_3mm,CalculatedEstimate,AluminumHandrailsAndWayfindingSignage,,Aluminum_Corridor_Fixtures_3mm,CalculatedEstimateAluminumHandrailsAndWayfindingSignageAluminum_Corridor_Fixtures_3mmInternalMassDef
CS Corridor - Hospital,NCC2025_AU,Hospital,Corridor,Hospital Corridor,2025,AU,NCC,169,31,31,CS Corridor - Hospital_NCC2025AU,CS Corridor - Hospital_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Corridor - HospitalPeopleDef,NCC-C9aWard-Occupancy,,,,0.06,0.0003048,,,,IMC Table 403.3.1.1,Public spaces_Corridors other than Group R,,,IMC Table 403.3.1.1Public spaces_Corridors other than Group RVent,0.464515,5.00,0,0.5,0,NCC S35C2l,,Class 9a ward area (support/circulation default); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Corridor - HospitalElectricalEquipDef,Always On,0.232258,2.50,0.37,0.2,NCC J7D3a,,Health-care - all other patient care areas including wards and corridors; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Corridor - HospitalLightingDef,NCC-C9aWard-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Corridor - HospitalInfil,Hospital INFIL_SCH_PNNL,Hospital,Corridor,,0.26,,Smooth,0.0025,64.8,6330,644,0.9,0.7,0.7,Stainless_Aluminum_Hospital_3mm,CalculatedEstimate,StainlessHandrailsAndMedicalSignage,,Stainless_Aluminum_Hospital_3mm,CalculatedEstimateStainlessHandrailsAndMedicalSignageStainless_Aluminum_Hospital_3mmInternalMassDef
CS Corridor - Manufacturing,NCC2025_AU,Manufacturing Facility,Corridor,Mfg - corr. >= 2.4m,2025,AU,NCC,169,31,31,CS Corridor - Manufacturing_NCC2025AU,CS Corridor - Manufacturing_NCC2025AUScheduleSet,143,6.993006993,0.075272133,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Corridor - ManufacturingPeopleDef,NECB-A-Occupancy,CS Corridor - ManufacturingActivity,,,0.25,0.00127,,,,COMNET-REV9,,,,COMNET-REV9CS Corridor - ManufacturingVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lCS Corridor - ManufacturingElectricalEquipDef,NECB-A-Electric-Equipment,0.464515,5.00,0.37,0.2,NCC J7D3a,,Corridors; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Corridor - ManufacturingLightingDef,NECB-A-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Corridor - ManufacturingInfil,OfficeMedium INFIL_SCH_PNNL,Office,Corridor,,0.34,,MediumRough,0.0063,82,5095,711,0.9,0.7,0.7,Steel_Aluminum_Industrial_6mm,CalculatedEstimate,SteelHandrailsAndSafetyBollards,,Steel_Aluminum_Industrial_6mm,CalculatedEstimateSteelHandrailsAndSafetyBollardsSteel_Aluminum_Industrial_6mmInternalMassDef
